code,prefecture,men,women
1,北海道,219,10
2,青森県,61,15
3,岩手県,47,14
4,宮城県,55,8
5,秋田県,44,12
6,山形県,41,15
7,福島県,40,21
8,茨城県,63,8
9,栃木県,34,12
10,群馬県,37,12
11,埼玉県,43,8
12,千葉県,57,6
13,東京都,74,11
14,神奈川県,61,9
15,新潟県,61,12
16,富山県,47,12
17,石川県,55,6
18,福井県,44,19
19,山梨県,40,6
20,長野県,34,15
21,岐阜県,36,14
22,静岡県,44,19
23,愛知県,58,12
24,三重県,49,14
25,滋賀県,44,12
26,京都府,49,9
27,大阪府,65,9
28,兵庫県,71,8
29,奈良県,35,11
30,和歌山県,51,10
31,鳥取県,31,23
32,島根県,59,11
33,岡山県,48,17
34,広島県,60,9
35,山口県,60,15
36,徳島県,47,15
37,香川県,47,14
38,愛媛県,49,12
39,高知県,45,16
40,福岡県,68,16
41,佐賀県,48,16
42,長崎県,93,9
43,熊本県,53,19
44,大分県,48,13
45,宮崎県,54,6
46,鹿児島県,68,13
47,沖縄県,46,13
