code,prefecture,men,women
1,北海道,178,1
2,青森県,39,1
3,岩手県,33,0
4,宮城県,34,1
5,秋田県,25,0
6,山形県,35,0
7,福島県,59,0
8,茨城県,43,1
9,栃木県,22,3
10,群馬県,34,1
11,埼玉県,61,2
12,千葉県,51,3
13,東京都,58,4
14,神奈川県,31,2
15,新潟県,28,2
16,富山県,15,0
17,石川県,19,0
18,福井県,16,1
19,山梨県,27,0
20,長野県,76,1
21,岐阜県,42,0
22,静岡県,34,1
23,愛知県,54,0
24,三重県,28,1
25,滋賀県,19,0
26,京都府,24,2
27,大阪府,42,1
28,兵庫県,37,4
29,奈良県,39,0
30,和歌山県,29,1
31,鳥取県,19,0
32,島根県,19,0
33,岡山県,26,1
34,広島県,23,0
35,山口県,18,1
36,徳島県,22,2
37,香川県,17,0
38,愛媛県,20,0
39,高知県,33,1
40,福岡県,59,1
41,佐賀県,20,0
42,長崎県,21,0
43,熊本県,45,0
44,大分県,18,0
45,宮崎県,26,0
46,鹿児島県,43,0
47,沖縄県,40,1
